PAMA004-10a_47.bam,PAMA004-10a
PAMA004-12a_51.bam,PAMA004-12a
PAMA014_12a_56.bam,PAMA014_12a
PAMA014_6a_17.bam,PAMA014_6a
PAMA014_6b_18.bam,PAMA014_6b
PAN029_12a_55.bam,PAN029_12a
PAN029_4a_28.bam,PAN029_4a
PAN029_4b_6.bam,PAN029_4b
PAN029_5a_7.bam,PAN029_5a
PCA023_12a_60.bam,PCA023_12a
PCA023_1a_31.bam,PCA023_1a
PCA025_10a_49.bam,PCA025_10a
PCA025_12a_57.bam,PCA025_12a
PCA025_3a_11.bam,PCA025_3a
PCA025_3b_12.bam,PCA025_3b
PCA025_5a_13.bam,PCA025_5a
PCO002_12a_54.bam,PCO002_12a
PCO002_2a_20.bam,PCO002_2a
PCO002_6b_16.bam,PCO002_6b
PCO111_12a_53.bam,PCO111_12a
PCO111_2a_45.bam,PCO111_2a
PCO111_6a_14.bam,PCO111_6a
PCO111_6b_15.bam,PCO111_6b
PCZ007_12a_59.bam,PCZ007_12a
PLI036_10a_50.bam,PLI36_10a
PLI036_12a_65.bam,PLI036_12a
PLI036_1a_43.bam,PLI036_1a
PLI036_1b_44.bam,PLI036_1b
PLI036_3a_35.bam,PLI036_3a
PLI036_3b_36.bam,PLI036_3b
PPU009_12a_64.bam,PPU009_12a
PPU009_4b_26.bam,PPU009_4b
PPU009_6a_23.bam,PPU009_6a
PPU009_6b_24.bam,PPU009_6b
PPU009_7a_29.bam,PPU009_7a
PPU009_7b_30.bam,PPU009_7b
PPU072_12a_62.bam,PPU072_12a
PPU072_9a1_80.bam,PPU072_9a1
PPU072_9a2_81.bam,PPU072_9a2
PPU103_12a_63.bam,PPU103_12a
PPU103_1a_38.bam,PPU103_1a
PPU103_1b_39.bam,PPU103_1b
PPU103_4a_27.bam,PPU103_4a
PPU140_10a_48.bam,PPU140_10a
PPU140_12a_52.bam,PPU140_12a
PPU140_1a_41.bam,PPU140_1a
PPU140_1b_42.bam,PPU140_1b
PPU140_4a_34.bam,PPU140_4a
PPU140_8a_108.bam,PPU140_8a
PPU140_9a_75.bam,PPU140_9a
PPU143_12a_61.bam,PPU143_12a
PPU143_1a_8.bam,PPU143_1a
PPU143_1b_9.bam,PPU143_1b
PPU143_3b_10.bam,PPU143_3b
PPU143_8a_99.bam,PPU143_8a
